Folio,Sector al que pertenece la empresa,Productos o servicios que produce o comercializa,Número de empleados,Entidad Federativa,Ciudad o Municipio,1. ¿Usted importa o utiliza alguno de los siguientes productos que sabe vienen del extranjero?,2. ¿Cómo adquiere las materias primas o productos que provienen del extranjero?,3. Si el peso se devaluará o su proveedor le subiera los precios ¿Cuál de las siguientes expresiones se acercaría más a la conducta que tomaría? ,4. Suponga que el tipo de cambio está hoy en 20.00 pesos por dólar o que usted compra materia prima a su proveedor a un costo de 20.00 por pieza ¿Cuánto debería devaluarse el peso o cuánto deberían subirle el precio sus proveedores para que usted decida subir sus precios?,5. Una vez que la devaluación o el aumento del precio de sus proveedores ha afectado sus costos ¿Cuánto tiempo tendría que pasar para que usted decida subir sus precios?,6. Una vez que usted decide subir sus precios ¿en qué porcentaje decide subirlos?,7. Si usted sube sus precios en un 10% como consecuencia de la devaluación o de que sus proveedores subieron sus precios ¿considera que sus ventas? ,8. Si usted sube sus precios por la devaluación o porque los proveedores le subieron precios ¿cuánto tiempo considera que tendría que pasar para que se vea reflejada una caída en sus ventas?,9. ¿Ha tenido que sacrificar ganancia ofreciendo precios más bajos a cambio de seguir vendiendo?,10. Cuando tiene que bajar sus precios para no perder ventas ¿utiliza alguna de las siguientes estrategias para aumentar sus ventas?,11. Del 1 al 4 qué capacidad considera que tiene su negocio para influir en el precio de los productos de la industria a la que pertenece. ,12. ¿Cuál de las siguientes expresiones se asemeja a su forma de actuar?,"13. Considerando el potencial que tiene su negocio para producir (agroindustria y sector industrial) o generar ventas (sector servicios y comercio), usando al máximo su maquinaria, mobiliario y equipo y siendo eficiente su personal en lo más posible ¿qué porcentaje en promedio de su capacidad ha utilizado en el último año?",14. En qué porcentaje promedio considera que ha ocupado el potencial de Maquinaria y Equipo de su empresa,15. ¿En qué porcentaje promedio considera que ha ocupado el potencial del personal de su empresa?,16. ¿Cuál es la razón del por qué no utiliza toda su capacidad?,17. Usted estaría dispuesto a subir los salarios de su personal solo si:,18. La razón del por qué no invierto más en mi negocio es:,19. Cuál de las siguientes expresiones se acerca más a usted:
664,Comercio al por menor,AUTOMOTRIZ,MICRO,Ciudad de México,TLAHUAC,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,No ha usado ninguna estrategia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,No estoy dispuesto a subir su salario,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
665,Comercio al por mayor,HOJALATERIA,MICRO,Hidalgo,PACHUCA,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
666,Comercio al por menor,OCIO,MICRO,Querétaro,QUERETARO,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
667,Comercio al por menor,HOGAR,PEQUEÑA,Tamaulipas,TAMPICO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,"Ofrece meses sin intereses, aunque la empresa tenga que pagar comisión al banco",1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
668,Comercio al por menor,ABARROTES,MICRO,Nuevo León,MONTERREY,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,No,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
669,Comercio al por menor,VARIOS,MICRO,Ciudad de México,VENUSTIANO CARRANZA,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Mejora sus estrategias de publicidad,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
670,Comercio al por mayor,TEXTILES,MICRO,Morelos,CUERNAVACA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
671,Comercio al por menor,TEXTILES,PEQUEÑA,Chiapas,SAN CRISTOBAL DE LAS CASAS,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
672,Comercio al por menor,EDUCACION,MICRO,Ciudad de México,GUSTAVO A MADERO,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,SR,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
673,Comercio al por menor,SALUD Y BIENESTAR,MICRO,Querétaro,QUERETARO,Materia prima para la producción,SR,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,No,No ha usado ninguna estrategia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
674,Servicios,TEXTILES,MICRO,Nuevo León,MONTERREY,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,No,Mejora sus estrategias de publicidad,3,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
675,Servicios,CONSTRUCCION,MICRO,Puebla,PUEBLA,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",49%-25%,74%-50%,49%-25%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
676,Comercio al por menor,AUTOMOTRIZ,PEQUEÑA,Baja California,MEXICALI,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,Ofrece crédito,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
677,Comercio al por mayor,SR,MICRO,Nayarit,TEPIC,"Servicios de tipo profesionales, logísticos u otros",Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),Más de 12 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
678,Comercio al por menor,SR,MICRO,Estado de México,NAUCALPAN,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,"Ofrece meses sin intereses, aunque la empresa tenga que pagar comisión al banco",3,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
679,Comercio al por menor,CONSTRUCCION,MICRO,Michoacán,URUAPAN,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
680,Comercio al por menor,HOGAR,MEDIANA,Estado de México,ECATEPEC,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,74%-50%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
681,Comercio al por menor,ELECTRONICA,MICRO,Ciudad de México,CDMX,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,"Más de 3, pero menos de 6",Sí,Mejora sus estrategias de publicidad,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
682,Comercio al por menor,ELECTRONICA,MICRO,Campeche,CANDELARIA,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Más del 15% (pasar de 20.00 a más de 23),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Ofrece crédito,4,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
683,Servicios,ALIMENTOS,PEQUEÑA,Coahuila,TORREÓN,Todo lo que utilizo se produce en México,SR,Solo si mi competencia los sube yo también los subiré,Más del 15% (pasar de 20.00 a más de 23),Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,No ha usado ninguna estrategia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
684,Industria,ELECTRONICA,MICRO,Yucatán,MERIDA,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
685,Comercio al por menor,TEXTILES,MICRO,Chihuahua,DELICIAS,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Ofrece crédito,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
686,Comercio al por menor,TEXTILES,MICRO,Michoacán,TARIMBARO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Más de 12 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
687,Comercio al por menor,AUTOMOTRIZ,MICRO,Aguascalientes,AGUASCALIENTES,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
688,Comercio al por menor,TEXTILES,MEDIANA,Estado de México,SAN MATEO ATENCO,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","10%, pasar de 20.00 a 22",Entre 6 y 12 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
689,Comercio al por menor,ALIMENTOS,MICRO,Estado de México,TEQUIXQUIAC,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,No,Mejora sus estrategias de publicidad,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
690,Comercio al por menor,EDUCACION,MICRO,Ciudad de México,CUAUHTEMOC,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"10%, pasar de 20.00 a 22",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Ofrece crédito,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,74%-50%,74%-50%,No lo demanda el mercado,No estoy dispuesto a subir su salario,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
691,Industria,PETROQUIMICA,MICRO,Coahuila,SALTILLO,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,No caerán,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
692,Industria,ALIMENTOS,GRANDE,San Luis Potosí,SAN LUIS POTOSI,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Mejora sus estrategias de publicidad,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
693,Comercio al por mayor,HOGAR,PEQUEÑA,San Luis Potosí,SAN LUIS POTOSI,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
694,Industria,AGROINDUSTRIA,PEQUEÑA,Jalisco,ZAPOPAN,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Mejora sus estrategias de publicidad,2,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,74%-50%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
695,Comercio al por menor,LIMPIEZA,MICRO,Zacatecas,FRESNILLO,Todo lo que utilizo se produce en México,SR,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Ofrece crédito,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
696,Servicios,AUTOMOTRIZ,MICRO,Sinaloa,CULIACAN,Productos finales,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,No,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,74%-50%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
697,Comercio al por menor,SR,MICRO,Oaxaca,OAXACA,Todo lo que utilizo se produce en México,SR,Voy a subir mis precios de inmediato para no tener pérdidas,"10%, pasar de 20.00 a 22",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Mejora sus estrategias de publicidad,1,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,49%-25%,74%-50%,74%-50%,No lo demanda el mercado,No estoy dispuesto a subir su salario,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
698,Comercio al por menor,ELECTRONICA,MICRO,Nuevo León,MONTERREY,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
699,Servicios,HOGAR,MICRO,Nuevo León,MONTERREY,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,No ha usado ninguna estrategia,3,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,74%-50%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
